Item,Category,Gold,Silver,Platinum,Rhodium,Nickel,Tin,Lithium,Aluminum,Carbon,Profit ($)
iPhone 11,Cat3,9.2,2.23,2.25,5.39,9.41,5.21,3.4,1.91,5.15,574.11
Toaster,Cat2,5.75,2.83,2.57,6.57,0.36,8.9,0.24,5.76,4.88,422.03
Smartphone,Cat3,2.28,8.81,3.18,0.86,3.77,1.64,2.27,6.34,4.23,287.55
Laptop,Cat3,9.97,5.1,7.89,8.73,6.13,3.82,9.16,2.01,4.15,915.72
Vacuum Cleaner,Cat2,2.79,4.45,6.07,6.46,7.96,0.33,2.94,0.41,0.31,464.99
Audio Equipment,Cat4,2.87,4.73,7.15,2.59,7.22,2.78,2.17,4.96,3.01,526.99
Toaster,Cat2,5.47,0.41,3.47,3.01,9.74,3.37,9.76,9.62,4.23,455.13
iPhone 11,Cat3,6.0,6.36,1.01,8.27,7.98,2.68,5.6,5.93,9.2,352.74
Toaster,Cat2,5.57,3.87,1.18,9.54,6.41,5.12,1.31,4.3,5.49,339.32
Toaster,Cat2,7.09,2.93,3.16,8.65,7.97,4.11,8.32,0.7,2.65,519.56
Vacuum Cleaner,Cat2,9.98,5.3,2.01,7.58,1.18,2.38,3.24,9.26,6.97,601.17
iPhone 11,Cat3,9.8,0.2,6.2,1.71,3.58,3.05,7.83,4.24,7.27,813.96
Toaster,Cat2,3.56,4.51,2.6,7.55,3.39,5.52,7.44,7.1,8.16,316.97
Audio Equipment,Cat4,1.41,3.04,3.33,3.96,4.98,6.32,6.27,3.31,6.56,249.64
Smartphone,Cat3,7.96,2.08,1.58,6.3,9.95,4.46,7.05,0.64,8.07,477.19
Washing Machine,Cat1,1.8,1.15,8.48,9.83,1.53,1.93,0.31,2.71,0.28,543.53
Iron,Cat2,9.18,5.78,1.06,7.75,5.0,2.63,9.15,9.11,3.63,511.3
Air Conditioner,Cat1,5.17,4.16,2.0,1.51,5.08,1.35,0.96,3.54,5.24,363.68
Tablet,Cat3,6.73,1.95,8.35,1.74,5.31,8.87,5.39,1.95,2.36,779.44
TV,Cat4,8.39,9.49,3.47,3.26,8.17,2.35,5.92,5.03,8.17,603.77
Washing Machine,Cat1,4.06,6.97,9.8,2.98,6.25,7.9,0.29,2.41,0.48,728.81
Air Conditioner,Cat1,1.26,9.84,1.49,0.58,3.1,7.2,3.37,3.81,2.01,147.56
Washing Machine,Cat1,6.12,0.42,7.65,3.98,1.95,8.12,5.54,3.77,3.75,711.03
Smartphone,Cat3,3.1,4.61,5.18,6.52,8.35,6.69,4.78,1.66,0.17,432.75
Laptop,Cat3,3.27,4.23,6.15,3.88,2.22,4.56,6.26,9.81,2.99,492.74
Monitor,Cat4,1.7,3.4,5.77,4.77,9.36,3.72,8.9,5.69,9.76,394.84
Monitor,Cat4,1.11,1.78,5.11,4.64,7.82,0.98,4.62,1.16,3.82,329.49
TV,Cat4,0.31,1.8,2.68,1.47,9.52,3.76,4.94,8.39,4.61,160.06
Microwave Oven,Cat2,2.7,4.98,9.08,3.55,4.96,7.05,7.99,3.99,9.68,622.24
Stove,Cat1,6.28,3.42,2.8,1.15,6.5,1.35,5.64,7.88,3.9,460.68
Microwave Oven,Cat2,2.4,2.67,2.08,4.78,3.43,7.24,9.22,0.2,4.28,231.09
Monitor,Cat4,5.68,7.54,0.14,2.16,1.77,5.18,8.15,8.07,2.18,291.04
Laptop,Cat3,2.5,7.72,9.06,0.92,6.29,8.55,6.32,5.86,1.02,612.95
Laptop,Cat3,5.71,0.69,4.66,6.43,4.96,6.49,7.29,7.17,5.65,530.84
Laptop,Cat3,2.26,5.58,6.52,7.89,6.11,6.33,4.52,6.22,1.79,463.8
Fridge,Cat1,0.55,4.14,1.95,4.19,1.07,1.43,6.43,6.73,8.37,133.92
iPhone 11,Cat3,2.82,6.1,1.55,3.31,1.39,5.73,1.17,2.92,2.77,225.24
Iron,Cat2,2.58,9.88,7.91,4.7,6.21,4.05,6.01,0.95,2.39,556.42
Laptop,Cat3,4.73,6.15,8.5,6.53,4.12,3.97,6.18,9.98,9.76,691.51
Laptop,Cat3,5.42,3.31,7.35,5.81,1.02,9.96,4.99,9.82,6.36,662.23
iPhone 11,Cat3,5.74,7.02,0.69,6.7,3.62,6.78,5.04,4.82,5.81,323.21
Stove,Cat1,0.6,0.35,8.28,6.27,1.21,1.04,9.97,4.95,6.0,473.37
Laptop,Cat3,6.47,5.71,7.64,2.56,3.31,3.95,0.4,3.23,5.49,730.66
Air Conditioner,Cat1,7.65,3.47,8.8,7.51,0.98,7.62,6.45,6.1,8.48,849.55
Toaster,Cat2,6.67,8.03,4.89,2.39,0.28,6.65,1.54,3.3,7.03,594.48
Washing Machine,Cat1,3.36,8.17,0.37,3.12,9.56,1.36,2.62,4.15,0.2,189.76
Iron,Cat2,3.86,6.91,6.82,8.32,7.66,4.22,5.38,3.05,6.19,559.23
Laptop,Cat3,6.85,9.4,5.09,0.17,7.07,1.2,3.29,7.78,2.77,614.82
Iron,Cat2,5.75,7.18,6.76,9.09,5.1,1.5,2.25,1.0,7.77,648.95
Vacuum Cleaner,Cat2,2.32,8.39,1.35,7.88,6.75,4.19,1.69,8.96,9.14,191.31
iPhone 11,Cat3,9.41,4.79,9.92,0.55,3.66,7.79,4.37,8.17,4.9,996.83
iPhone 11,Cat3,5.74,0.43,9.28,4.28,2.58,9.41,3.11,5.38,9.78,779.73
TV,Cat4,3.6,8.43,2.76,0.72,6.18,4.07,7.3,0.11,5.88,329.77
Washing Machine,Cat1,4.51,5.3,5.22,6.17,0.8,4.81,7.05,1.33,0.67,504.43
Iron,Cat2,6.03,8.42,7.51,4.51,2.46,9.81,4.72,0.79,1.64,703.72
Vacuum Cleaner,Cat2,9.13,3.01,0.89,3.07,4.17,0.86,4.54,2.6,2.69,498.1
Vacuum Cleaner,Cat2,2.39,0.35,4.65,1.96,6.52,7.76,4.99,0.85,2.47,367.02
Monitor,Cat4,7.61,4.81,0.94,3.99,3.68,1.76,2.52,2.98,8.28,427.13
Vacuum Cleaner,Cat2,0.96,5.14,5.8,8.64,6.07,1.55,8.6,7.4,7.42,361.0
iPhone 11,Cat3,0.1,4.85,8.95,6.8,0.6,8.53,8.7,3.46,8.15,487.41
Tablet,Cat3,1.93,1.6,5.52,7.1,4.94,5.07,1.9,3.23,6.18,391.68
Air Conditioner,Cat1,0.3,3.03,0.45,2.9,1.48,1.52,7.23,9.2,2.37,40.64
Microwave Oven,Cat2,6.56,0.91,5.66,1.89,7.74,5.32,4.72,8.2,8.88,626.33
Vacuum Cleaner,Cat2,0.57,7.9,6.14,7.9,1.05,6.9,3.07,0.99,2.65,361.66
Tablet,Cat3,6.59,4.56,9.53,2.6,8.0,2.29,3.34,8.27,9.73,837.2
TV,Cat4,2.4,6.62,4.33,4.69,5.65,4.76,0.83,7.81,7.76,353.89
Stove,Cat1,3.54,3.98,5.1,1.24,7.53,5.8,6.25,9.75,4.16,449.7
Microwave Oven,Cat2,8.19,4.1,4.21,0.98,7.74,0.58,8.42,8.68,1.08,630.47
Vacuum Cleaner,Cat2,2.8,2.0,1.03,8.48,5.69,1.94,9.27,9.86,4.8,194.03
Microwave Oven,Cat2,7.69,9.56,7.58,2.67,5.38,0.21,8.76,1.56,2.51,789.56
Laptop,Cat3,8.79,0.25,3.1,7.23,8.29,9.1,1.6,7.53,9.1,598.44
Audio Equipment,Cat4,5.57,6.06,4.76,5.54,0.6,8.86,9.04,2.0,1.09,532.38
Laptop,Cat3,0.43,2.19,5.38,1.15,0.21,0.32,2.27,3.5,5.95,310.66
Speaker,Cat4,0.15,1.65,9.12,4.6,5.26,9.33,7.03,5.67,2.43,497.22
Iron,Cat2,2.2,2.9,3.31,4.7,1.22,0.38,9.84,1.76,5.24,287.14
Fridge,Cat1,6.1,3.84,8.04,4.66,4.74,0.37,5.78,5.14,1.99,732.79
TV,Cat4,7.14,6.85,6.62,9.38,3.51,1.24,3.14,7.53,8.99,709.53
Iron,Cat2,3.66,8.69,4.29,1.05,7.87,8.26,6.66,4.77,0.41,414.94
Fridge,Cat1,9.5,5.53,5.21,6.19,6.05,5.42,7.92,3.84,5.88,749.3
Smartphone,Cat3,1.04,8.55,1.46,0.82,5.49,4.75,6.53,2.09,5.51,134.39
iPhone 11,Cat3,5.43,6.37,8.58,2.92,6.15,2.86,6.15,2.93,7.01,730.32
iPhone 11,Cat3,0.46,3.82,8.45,8.68,1.21,3.18,6.18,2.2,3.44,477.63
TV,Cat4,9.81,6.65,5.97,1.35,9.41,2.1,0.59,8.98,8.35,805.88
Microwave Oven,Cat2,7.79,8.6,1.12,0.72,4.22,5.97,8.44,0.37,3.87,447.88
iPhone 11,Cat3,2.04,0.5,2.48,1.47,2.04,9.73,3.83,7.67,1.37,233.61
Tablet,Cat3,1.51,7.45,6.56,7.87,3.52,3.78,1.14,0.15,3.38,430.08
TV,Cat4,8.97,6.4,4.26,8.57,2.2,7.89,2.58,8.97,6.76,672.85
Toaster,Cat2,9.68,6.84,5.62,1.42,4.33,1.02,8.66,2.14,7.31,780.76
Tablet,Cat3,7.72,8.74,5.62,7.27,8.9,8.13,5.61,7.57,6.25,685.74
Smartphone,Cat3,0.74,3.34,4.14,0.63,6.34,4.28,9.47,4.39,5.88,260.27
Speaker,Cat4,2.26,3.28,0.63,1.77,6.81,5.88,7.92,2.04,4.57,146.89
Microwave Oven,Cat2,3.78,9.87,3.48,9.78,3.02,9.56,1.29,2.67,4.87,378.07
Air Conditioner,Cat1,0.31,8.42,0.31,2.94,4.49,1.3,0.16,8.81,2.63,36.75
iPhone 11,Cat3,7.76,3.25,3.67,3.8,8.8,7.89,2.42,6.0,2.59,580.07
Iron,Cat2,6.92,6.4,2.14,7.26,0.16,7.1,6.75,7.74,6.2,458.49
Fridge,Cat1,9.8,3.48,2.19,3.1,4.67,0.42,4.8,8.3,3.94,600.94
Vacuum Cleaner,Cat2,2.64,8.98,9.58,5.44,0.13,6.57,3.66,0.59,8.33,648.29
Audio Equipment,Cat4,4.83,8.25,1.16,7.32,5.26,2.38,0.39,9.38,5.65,304.33
Vacuum Cleaner,Cat2,1.18,8.24,8.4,7.67,9.87,8.86,2.76,5.28,8.07,513.09
Laptop,Cat3,0.49,9.66,2.75,3.28,4.5,2.54,0.51,7.56,4.43,177.07
Air Conditioner,Cat1,0.7,4.05,8.32,8.52,3.59,5.17,1.58,8.73,3.24,482.66
Monitor,Cat4,0.63,2.48,7.22,9.92,8.66,8.32,4.4,1.53,2.88,419.51
Smartphone,Cat3,2.1,5.08,4.14,9.14,3.27,8.27,1.96,6.35,1.89,328.12
Microwave Oven,Cat2,3.17,3.56,4.92,7.87,9.58,9.31,9.37,7.76,4.3,421.73
iPhone 11,Cat3,9.44,5.0,6.22,8.07,5.72,5.88,0.56,2.99,0.57,800.17
Laptop,Cat3,3.09,3.65,8.12,7.64,9.2,1.19,1.5,4.45,2.58,589.15
Iron,Cat2,1.63,3.69,7.29,8.22,8.85,9.5,4.67,3.64,6.35,473.11
Tablet,Cat3,4.52,7.8,2.64,7.82,0.17,5.28,8.26,5.9,0.36,368.12
Monitor,Cat4,9.76,1.56,2.27,5.58,0.57,7.54,0.19,5.08,8.57,602.24
iPhone 11,Cat3,8.86,6.24,0.45,1.66,1.05,1.62,0.35,0.14,6.95,463.08
Iron,Cat2,8.23,1.59,6.85,4.29,5.14,4.98,6.67,1.58,1.73,772.49
Tablet,Cat3,9.3,5.99,0.8,7.63,6.25,3.5,4.4,4.58,4.25,503.41
Toaster,Cat2,8.69,4.85,5.04,9.6,1.26,8.75,8.73,7.41,0.32,700.0
Fridge,Cat1,4.07,7.53,9.88,9.12,2.7,4.84,9.38,0.24,0.1,733.81
TV,Cat4,4.49,4.07,9.45,6.66,6.13,8.71,3.17,3.17,7.21,729.54
Microwave Oven,Cat2,6.6,4.8,3.48,0.4,8.61,5.8,2.83,3.88,8.28,513.74
Microwave Oven,Cat2,8.7,8.23,0.25,5.29,4.16,9.47,4.65,2.32,5.57,445.83
Laptop,Cat3,8.05,8.88,3.24,1.07,6.78,6.05,0.37,3.57,7.22,574.44
Microwave Oven,Cat2,9.9,0.93,8.02,8.44,0.18,2.55,2.77,2.78,2.43,916.75
Stove,Cat1,7.62,1.84,1.12,3.61,5.07,3.68,7.64,2.89,7.37,435.62
iPhone 11,Cat3,3.94,5.63,0.51,6.19,1.52,6.09,9.95,3.6,6.69,224.28
Microwave Oven,Cat2,3.88,2.83,5.0,6.21,9.24,8.69,8.22,2.38,4.12,460.47
Vacuum Cleaner,Cat2,8.92,4.4,2.18,0.31,7.08,2.09,1.12,3.39,7.51,557.76
Vacuum Cleaner,Cat2,5.44,7.57,7.73,6.58,0.67,9.49,7.9,3.21,8.49,686.0
iPhone 11,Cat3,6.09,3.87,8.95,0.14,5.64,3.92,8.55,1.89,7.94,781.16
Smartphone,Cat3,8.35,0.36,9.91,0.14,0.17,9.48,0.61,0.44,5.52,941.66
TV,Cat4,1.96,3.37,4.05,4.96,6.81,3.92,8.66,3.19,1.63,315.41
Smartphone,Cat3,4.55,3.89,9.91,5.06,7.98,9.03,6.74,0.16,1.52,757.07
iPhone 11,Cat3,6.07,5.34,9.57,2.83,0.86,5.64,9.13,7.37,4.31,814.2
Speaker,Cat4,6.32,3.1,4.56,7.14,9.47,3.9,9.24,1.8,0.99,556.85
Iron,Cat2,5.79,6.79,4.35,3.25,6.18,2.63,3.46,4.4,4.58,521.6
Laptop,Cat3,6.84,1.46,4.34,9.93,4.03,4.37,6.25,5.75,3.4,569.61
Smartphone,Cat3,4.8,2.84,1.52,4.82,8.26,0.39,6.55,4.22,1.6,319.05
Washing Machine,Cat1,6.08,5.49,3.13,4.54,3.46,5.07,8.01,2.05,7.33,469.74
Laptop,Cat3,0.29,6.14,0.95,9.21,2.52,5.12,1.72,4.26,2.11,68.8
Washing Machine,Cat1,0.37,7.0,6.83,1.24,5.65,5.37,0.41,7.43,0.6,388.33
Laptop,Cat3,3.93,7.92,0.47,8.91,6.05,2.31,6.97,6.3,1.99,222.95
Vacuum Cleaner,Cat2,1.24,0.83,1.81,3.19,1.05,9.79,0.53,8.3,6.27,158.58
Speaker,Cat4,4.54,4.3,2.09,8.54,5.54,5.9,4.51,4.41,5.28,337.71
Vacuum Cleaner,Cat2,2.67,2.15,4.65,1.55,2.39,3.2,0.55,5.46,4.36,381.67
Microwave Oven,Cat2,5.5,4.5,5.17,0.19,2.46,7.74,0.1,2.17,5.71,550.02
Air Conditioner,Cat1,1.04,2.6,9.64,2.62,0.9,8.97,1.14,5.65,0.58,569.29
Stove,Cat1,8.31,7.66,1.95,2.41,6.99,8.52,3.44,1.55,0.38,517.45
Tablet,Cat3,3.62,1.78,3.68,2.82,0.79,1.53,6.58,2.18,9.53,376.11
Audio Equipment,Cat4,5.87,7.57,9.25,2.27,3.01,3.11,0.66,7.86,3.95,788.49
Vacuum Cleaner,Cat2,9.88,9.81,8.4,1.51,9.79,8.94,0.73,1.88,2.41,941.47
Audio Equipment,Cat4,6.29,0.68,3.42,0.24,2.71,0.98,2.35,5.93,4.46,492.76
Toaster,Cat2,0.19,6.77,6.39,2.19,1.56,4.63,1.58,9.54,0.68,355.71
Vacuum Cleaner,Cat2,3.78,0.25,3.24,4.48,6.51,3.92,2.44,7.33,6.13,359.64
Fridge,Cat1,4.84,5.24,5.32,3.46,6.9,6.32,4.12,0.39,7.73,526.09
Speaker,Cat4,1.27,4.38,2.3,4.18,8.71,7.81,6.45,9.11,2.16,188.42
iPhone 11,Cat3,3.33,3.65,7.6,8.9,3.55,8.05,4.53,5.42,3.93,573.13
Speaker,Cat4,3.22,9.82,6.12,3.54,5.44,7.99,3.47,5.52,7.84,491.99
TV,Cat4,5.55,9.04,6.99,1.16,5.98,7.23,0.17,9.0,7.11,652.63
Stove,Cat1,9.64,5.16,2.11,8.2,7.03,5.18,8.14,2.84,0.26,589.88
Speaker,Cat4,1.51,8.81,6.01,5.53,8.13,6.28,0.76,5.73,5.76,401.5
Laptop,Cat3,2.8,6.58,4.4,9.79,10.0,5.38,3.75,0.16,0.63,377.35
Audio Equipment,Cat4,7.83,9.54,1.36,7.49,4.28,9.12,3.54,1.82,3.35,463.3
Air Conditioner,Cat1,1.0,1.02,1.03,5.0,9.3,1.32,4.5,7.59,7.37,105.06
Microwave Oven,Cat2,2.14,0.62,2.01,6.59,9.1,8.69,1.86,6.49,5.06,213.49
Fridge,Cat1,5.49,9.48,1.19,8.89,9.94,1.18,6.27,1.55,2.1,339.11
Laptop,Cat3,6.32,4.23,7.67,5.25,1.74,4.34,4.09,4.23,0.68,724.03
Audio Equipment,Cat4,4.46,7.52,7.61,9.89,8.56,6.02,1.39,8.28,0.85,631.44
TV,Cat4,5.12,1.75,8.81,7.75,8.62,1.87,8.11,5.2,2.4,724.78
Iron,Cat2,0.76,9.6,2.18,4.96,5.19,8.42,3.67,5.04,4.73,159.88
Monitor,Cat4,2.79,1.84,7.53,4.72,1.44,4.34,0.61,7.33,6.11,541.71
Laptop,Cat3,5.99,0.22,8.55,8.67,8.78,4.85,9.94,5.99,5.77,752.78
Audio Equipment,Cat4,8.05,6.08,8.62,0.38,9.25,4.67,5.77,6.83,8.8,861.11
Vacuum Cleaner,Cat2,8.31,8.39,8.45,0.58,6.88,1.82,1.82,0.94,6.74,866.02
Air Conditioner,Cat1,9.08,8.2,2.46,1.78,0.71,1.37,0.82,2.46,0.58,582.7
Fridge,Cat1,6.26,4.78,0.35,1.39,0.28,7.92,2.55,4.48,8.19,329.23
Vacuum Cleaner,Cat2,4.93,0.81,4.68,6.0,2.29,5.75,7.38,4.73,6.29,493.6
Washing Machine,Cat1,2.66,9.5,8.93,0.89,5.86,3.19,6.58,2.7,2.81,614.76
Microwave Oven,Cat2,2.55,0.6,4.94,9.94,9.4,2.41,0.42,6.98,1.01,390.51
Smartphone,Cat3,9.77,3.27,4.69,5.77,5.03,6.81,1.1,0.32,5.63,733.42
Vacuum Cleaner,Cat2,5.08,7.88,7.22,7.41,1.88,4.84,6.78,3.47,9.62,641.1
Speaker,Cat4,5.46,3.53,4.84,1.47,7.03,1.73,0.29,8.54,7.4,529.77
Toaster,Cat2,9.66,0.23,7.19,9.07,5.43,0.47,9.34,0.49,7.78,860.12
Washing Machine,Cat1,2.43,0.29,3.62,5.04,1.01,5.18,5.71,6.54,9.15,313.64
iPhone 11,Cat3,0.14,9.98,9.48,9.49,9.91,8.91,3.0,3.14,2.11,520.85
Speaker,Cat4,3.18,2.87,9.52,8.44,4.35,4.63,4.75,7.44,3.45,668.14
TV,Cat4,9.35,6.09,3.52,4.26,7.84,5.35,0.68,9.85,3.26,651.73
Smartphone,Cat3,3.19,6.01,5.45,7.3,9.87,7.36,9.08,2.71,7.56,452.48
Laptop,Cat3,8.88,7.14,1.63,5.22,3.0,9.22,8.25,8.76,7.27,527.97
Laptop,Cat3,2.69,6.34,1.8,5.4,4.1,4.12,2.6,7.52,7.72,232.39
Tablet,Cat3,8.87,0.12,9.45,3.68,5.94,0.11,9.89,1.64,3.02,942.33
Iron,Cat2,9.45,3.36,2.06,6.57,9.26,7.43,7.23,4.12,8.45,576.91
TV,Cat4,2.6,7.39,1.03,0.84,4.15,6.65,4.52,3.42,8.52,187.36
Washing Machine,Cat1,6.23,5.66,8.73,6.34,9.25,4.13,6.19,8.52,9.23,777.33
Fridge,Cat1,5.33,8.32,2.23,8.94,7.95,9.02,5.93,2.9,8.48,386.43
Audio Equipment,Cat4,3.2,5.84,2.09,1.63,0.58,6.2,7.68,5.2,5.0,272.69
Tablet,Cat3,8.97,1.73,0.57,3.88,4.47,2.44,7.93,0.28,6.02,472.39
Microwave Oven,Cat2,1.56,1.46,8.02,1.55,7.55,9.34,8.28,6.5,7.22,507.49
TV,Cat4,2.0,6.64,4.85,6.51,8.11,3.39,1.74,7.31,1.95,362.12
Fridge,Cat1,2.38,4.14,4.01,3.42,5.67,1.77,6.6,9.86,4.02,334.29
Audio Equipment,Cat4,7.43,2.64,0.15,1.66,7.6,2.51,6.63,1.43,9.09,374.78
Fridge,Cat1,1.23,7.94,3.07,9.05,9.61,2.05,9.63,7.05,1.38,229.65
Speaker,Cat4,5.3,6.35,0.23,8.92,3.62,7.15,5.24,1.27,7.23,276.57
Air Conditioner,Cat1,5.39,1.23,0.85,8.46,4.75,3.25,0.77,9.99,4.18,311.22
Microwave Oven,Cat2,8.87,0.4,9.71,9.65,7.49,9.59,8.17,1.4,1.22,956.62
TV,Cat4,0.58,5.15,7.2,6.66,1.27,8.04,8.89,7.7,7.24,417.4
Microwave Oven,Cat2,8.09,0.62,6.53,7.16,2.74,1.68,2.38,5.95,1.14,747.82
Microwave Oven,Cat2,3.96,8.19,9.42,3.08,3.94,7.13,2.0,5.3,0.6,704.19
Air Conditioner,Cat1,2.13,2.14,1.67,1.48,1.87,9.68,9.27,3.08,8.87,195.57
Laptop,Cat3,0.84,6.1,0.55,4.02,9.67,0.86,3.25,8.05,8.89,74.39
Audio Equipment,Cat4,6.96,8.78,9.37,5.17,3.47,7.81,8.91,5.3,1.83,849.27
Audio Equipment,Cat4,5.39,6.98,5.77,4.93,1.12,5.56,2.66,9.65,2.03,578.12
Toaster,Cat2,6.35,9.8,2.92,7.01,1.71,2.65,8.84,9.69,0.31,474.16
TV,Cat4,4.38,4.99,2.43,9.88,6.98,0.22,9.15,3.33,4.58,348.38
TV,Cat4,5.26,3.53,0.74,4.03,0.6,4.94,4.28,4.24,4.94,300.23
Stove,Cat1,9.81,5.63,6.84,5.77,7.26,9.84,8.43,6.44,3.15,852.03
Microwave Oven,Cat2,2.2,2.9,7.63,6.1,6.26,3.72,7.73,7.83,2.52,518.74
Washing Machine,Cat1,7.8,1.85,2.76,9.31,2.33,9.1,6.87,0.87,8.29,532.41
iPhone 11,Cat3,8.47,1.62,6.77,2.61,2.8,8.52,7.28,2.72,3.45,780.05
Vacuum Cleaner,Cat2,2.72,7.76,9.4,6.02,1.1,7.33,7.33,6.12,8.64,641.91
Iron,Cat2,5.68,4.89,4.21,7.16,5.13,9.06,8.51,2.02,5.66,507.71
Smartphone,Cat3,6.58,6.01,4.28,1.42,0.49,4.76,8.4,0.39,7.04,556.18
iPhone 11,Cat3,7.03,9.81,5.06,9.92,7.51,8.2,3.3,4.29,4.49,622.42
Laptop,Cat3,1.04,8.01,1.42,9.43,4.34,9.49,0.11,3.0,7.82,132.01
Microwave Oven,Cat2,9.98,4.91,8.04,3.1,3.13,0.26,4.62,9.16,0.88,924.03
Microwave Oven,Cat2,5.16,9.13,2.3,1.1,3.31,9.81,1.4,4.93,4.25,382.24
Fridge,Cat1,8.14,0.51,1.16,2.84,4.5,1.86,9.67,9.66,9.59,462.51
Fridge,Cat1,0.44,4.66,7.54,7.95,3.18,9.37,2.55,9.77,9.01,428.51
Iron,Cat2,5.09,2.03,9.33,2.93,1.1,3.83,6.77,6.03,5.22,751.26
Laptop,Cat3,2.42,5.41,3.99,8.9,7.23,4.93,1.66,8.62,0.58,335.99
Microwave Oven,Cat2,7.3,1.21,1.32,1.96,9.51,4.95,7.98,2.15,5.57,430.34
iPhone 11,Cat3,0.85,3.63,9.31,5.95,5.1,2.83,2.16,2.23,6.3,542.81
Vacuum Cleaner,Cat2,1.15,0.42,2.22,0.54,6.07,7.87,0.25,2.65,9.27,175.93
Audio Equipment,Cat4,0.83,2.38,1.38,5.86,8.17,2.24,1.63,8.16,8.2,116.24
Washing Machine,Cat1,7.81,0.13,1.9,1.41,2.5,9.67,9.12,4.32,7.83,485.85
Laptop,Cat3,5.39,1.18,6.58,2.14,1.96,8.8,5.62,7.53,8.78,618.27
Iron,Cat2,8.87,0.93,4.47,9.7,4.29,6.97,4.19,6.28,8.29,676.07
Air Conditioner,Cat1,7.85,6.13,7.97,1.0,0.38,6.32,4.47,0.34,2.36,816.39
Laptop,Cat3,8.22,5.77,8.79,6.77,3.98,7.0,9.86,7.39,3.05,878.37
Air Conditioner,Cat1,5.72,7.79,9.61,6.1,9.0,1.24,8.87,0.24,4.04,800.58
Speaker,Cat4,5.4,4.49,1.92,2.41,9.18,4.39,1.11,4.0,6.31,370.99
Toaster,Cat2,7.08,0.3,3.57,4.69,7.07,6.43,0.38,3.43,0.52,539.56
Iron,Cat2,5.75,6.59,5.18,4.01,5.71,2.99,2.58,7.64,1.39,563.99
Microwave Oven,Cat2,2.88,6.5,4.68,0.33,1.79,8.41,1.96,3.35,0.55,396.18
Speaker,Cat4,2.38,0.53,4.92,6.67,2.94,3.41,9.25,2.89,4.42,380.97
Monitor,Cat4,6.27,0.99,8.44,4.25,0.83,0.52,3.89,8.25,7.98,760.89
Iron,Cat2,5.33,1.07,7.33,5.44,3.69,8.51,5.85,5.16,1.73,655.47
Iron,Cat2,3.84,0.3,6.79,8.34,1.22,6.73,3.43,4.12,6.6,552.81
Smartphone,Cat3,3.45,6.02,1.26,3.63,5.15,1.95,2.79,8.37,4.33,240.59
Stove,Cat1,1.41,1.47,9.4,1.64,3.52,2.93,3.31,8.91,8.86,573.89
Monitor,Cat4,6.03,0.63,3.72,5.23,5.84,3.58,7.26,0.41,5.85,496.12
Audio Equipment,Cat4,7.46,3.04,4.71,8.26,8.19,0.58,8.77,0.65,6.01,620.79
Stove,Cat1,9.23,7.66,6.2,3.6,6.12,2.88,2.44,9.17,3.23,790.26
Toaster,Cat2,7.43,3.18,1.68,5.27,5.96,7.01,3.94,5.49,2.16,457.13
iPhone 11,Cat3,5.25,7.33,9.03,0.65,9.4,4.15,4.19,1.77,2.97,746.21
Monitor,Cat4,8.16,6.77,4.15,2.25,3.43,6.55,2.35,1.13,1.9,627.36
Fridge,Cat1,5.63,5.74,5.58,9.97,9.59,9.2,1.97,3.27,2.24,579.21
Microwave Oven,Cat2,6.19,9.84,6.25,5.42,5.6,7.18,2.79,7.78,4.64,644.88
TV,Cat4,3.77,0.37,5.98,8.3,0.55,9.72,6.58,3.0,5.59,506.06
Vacuum Cleaner,Cat2,2.49,1.67,6.28,3.34,2.69,6.65,5.02,4.39,6.65,459.96
Washing Machine,Cat1,1.38,2.68,9.21,2.36,5.75,5.72,2.9,1.73,0.87,563.01
Monitor,Cat4,8.35,2.98,7.21,2.38,0.4,0.11,5.51,6.34,5.58,798.32
Laptop,Cat3,8.77,3.06,8.13,4.95,3.12,0.61,9.04,2.58,4.61,868.34
Microwave Oven,Cat2,4.1,7.12,4.29,5.65,1.32,6.04,8.68,9.06,1.97,435.53
Microwave Oven,Cat2,8.85,1.3,7.22,0.27,5.5,2.78,0.95,3.54,8.52,822.58
Vacuum Cleaner,Cat2,1.42,8.8,4.44,6.24,2.69,8.22,2.99,0.8,4.11,312.91
Vacuum Cleaner,Cat2,8.32,9.66,2.09,8.68,9.01,6.54,6.26,1.96,4.35,526.58
Audio Equipment,Cat4,8.67,7.91,1.79,1.23,6.78,9.7,0.59,7.06,8.16,526.73
Stove,Cat1,5.19,8.28,9.42,6.43,6.87,0.16,8.99,6.57,4.96,764.59
Washing Machine,Cat1,7.36,9.75,3.96,5.98,4.12,0.22,1.47,7.84,3.14,579.47
Vacuum Cleaner,Cat2,1.77,4.58,2.8,9.24,1.04,4.99,9.22,4.96,0.83,239.73
Iron,Cat2,3.47,3.42,8.19,2.17,2.95,8.67,8.65,2.41,2.82,611.49
iPhone 11,Cat3,9.89,9.94,7.38,5.11,1.94,0.15,1.5,7.16,2.07,887.11
Toaster,Cat2,1.68,2.84,6.34,9.81,4.65,9.16,1.52,7.39,5.5,424.11
TV,Cat4,5.13,6.61,8.84,6.5,1.56,0.93,3.7,6.32,0.54,729.55
Laptop,Cat3,3.56,5.91,8.38,8.6,8.12,4.5,9.88,1.17,0.9,627.52
TV,Cat4,2.26,8.2,7.13,10.0,2.02,9.12,2.02,2.17,4.53,497.98
