Item,Gold (g),Aluminum (g),Silver (g),Carbon (g),Platinum (g),Rhodium (g),Nickel (g),Tin (g),Lithium (g)
HP Spectre x360,3.22,1.19,1.93,0.22,0.03,0.08,0.98,1.14,2.64
Google Pixel 6,4.26,1.78,1.22,0.57,0.13,0.05,1.65,0.66,0.6
Microsoft Surface Pro,4.21,0.38,1.26,0.59,0.19,0.06,0.21,0.81,1.5
Amazon Kindle,1.69,0.73,0.21,0.36,0.04,0.06,1.04,1.44,0.27
MacBook Pro,0.58,1.69,0.25,0.99,0.06,0.09,1.56,1.0,2.05
Canon EOS R5,1.13,1.43,2.1,0.41,0.06,0.02,0.85,0.19,1.64
Nintendo Switch,0.81,1.41,1.46,0.57,0.15,0.03,1.46,1.22,0.18
Amazon Kindle,1.69,1.85,1.6,0.19,0.02,0.03,0.8,0.67,0.13
OnePlus 9 Pro,3.28,0.61,2.29,0.43,0.15,0.04,0.37,0.49,2.52
Nintendo Switch,3.37,1.62,2.54,0.41,0.07,0.04,0.3,0.67,0.62
Google Pixel 6,2.35,1.79,2.75,0.23,0.06,0.1,1.43,1.14,2.69
Microsoft Surface Pro,0.22,1.06,2.08,0.77,0.06,0.04,1.99,0.24,0.5
HP Spectre x360,1.62,1.85,1.0,0.8,0.09,0.02,1.15,0.62,2.32
Canon EOS R5,2.36,0.93,1.35,0.25,0.14,0.06,1.9,0.37,1.08
Dell XPS 13,3.13,0.66,1.81,0.9,0.13,0.08,1.75,1.43,1.27
Fitbit Charge,2.2,0.91,1.23,0.65,0.11,0.09,1.67,0.66,0.64
Xbox Series X,2.14,1.41,0.3,0.39,0.13,0.08,1.92,0.62,2.31
HP Spectre x360,4.27,0.52,1.6,0.24,0.11,0.02,1.51,0.44,2.3
Samsung Galaxy S20,4.97,1.21,2.42,0.51,0.13,0.04,1.81,1.4,1.64
Samsung Galaxy S20,2.88,1.84,2.38,0.81,0.09,0.05,0.17,1.25,2.28
LG OLED TV,1.75,1.61,1.69,0.3,0.12,0.03,1.52,0.7,0.82
LG OLED TV,3.11,1.61,2.65,0.47,0.05,0.06,1.33,0.61,1.96
OnePlus 9 Pro,4.23,0.74,0.86,0.2,0.17,0.04,0.21,0.29,2.13
Apple Watch,0.65,1.03,2.03,0.97,0.17,0.07,1.89,0.24,2.71
LG OLED TV,2.18,0.86,1.52,0.98,0.12,0.07,1.55,1.01,2.54
Nikon D3500,2.44,0.39,2.36,0.6,0.12,0.01,1.53,1.21,2.91
Nintendo Switch,3.22,0.92,2.45,0.61,0.14,0.08,1.84,0.72,0.47
iPhone 11,4.46,1.16,0.89,0.49,0.13,0.08,1.38,0.68,2.62
LG OLED TV,4.85,1.46,1.11,0.51,0.15,0.04,1.92,0.25,0.58
Fitbit Charge,2.76,1.72,1.63,0.24,0.03,0.07,1.83,0.75,1.79
Dell XPS 13,1.74,1.12,2.02,0.88,0.14,0.01,0.3,0.14,1.29
OnePlus 9 Pro,2.17,0.46,0.7,0.63,0.18,0.09,0.34,0.89,1.84
Fitbit Charge,3.29,1.12,1.71,0.68,0.06,0.09,1.19,1.23,0.69
OnePlus 9 Pro,1.21,0.47,1.76,0.65,0.19,0.06,1.59,1.3,0.17
Xbox Series X,1.08,0.79,2.9,0.49,0.08,0.01,1.3,0.46,2.9
MacBook Pro,2.63,0.9,2.44,0.3,0.11,0.05,1.28,1.31,1.25
OnePlus 9 Pro,2.84,1.14,2.08,0.5,0.16,0.02,0.38,1.15,2.16
iPad Pro,2.68,0.73,0.91,0.73,0.08,0.07,0.21,0.96,0.42
Nintendo Switch,3.17,0.8,1.36,0.21,0.18,0.09,0.32,0.26,0.63
LG OLED TV,1.77,1.88,2.61,0.85,0.12,0.06,0.91,0.98,0.43
iPad Pro,1.97,1.1,2.99,0.3,0.12,0.02,0.62,0.36,2.94
Lenovo ThinkPad X1,2.95,0.18,0.45,1.0,0.18,0.02,1.38,0.39,0.41
Nikon D3500,3.99,0.45,2.18,0.27,0.17,0.1,1.49,0.3,1.86
MacBook Pro,1.42,0.57,2.16,0.73,0.18,0.08,0.41,0.95,2.32
Fitbit Charge,0.54,1.9,1.2,0.25,0.04,0.06,1.38,0.7,0.48
Canon EOS R5,2.41,0.67,2.77,0.7,0.18,0.04,0.21,0.78,1.56
Google Pixel 6,4.11,0.17,1.79,0.31,0.1,0.07,0.86,0.41,2.7
MacBook Pro,4.45,1.83,2.17,0.81,0.1,0.07,0.65,1.42,0.81
Microsoft Surface Pro,1.37,1.86,0.89,0.32,0.03,0.02,1.67,1.42,1.43
Dell XPS 13,2.84,1.63,1.28,0.35,0.13,0.09,1.66,0.13,2.6
Canon EOS R5,4.37,1.64,2.51,0.45,0.09,0.07,1.5,0.19,1.04
Sony PlayStation 5,4.05,1.78,1.91,0.43,0.19,0.1,1.75,0.38,0.86
Amazon Kindle,2.28,1.42,1.68,0.61,0.19,0.04,0.89,0.52,1.83
iPhone 11,0.44,1.33,0.89,0.47,0.12,0.03,0.36,0.94,2.54
HP Spectre x360,0.72,0.68,0.82,0.71,0.18,0.01,0.29,0.9,2.49
Nikon D3500,4.53,0.37,0.29,0.9,0.12,0.05,0.98,0.58,2.51
Sony PlayStation 5,4.84,0.19,2.29,0.56,0.13,0.07,1.56,0.71,1.96
OnePlus 9 Pro,1.77,0.1,1.31,0.44,0.01,0.03,0.81,0.76,0.58
iPhone 11,2.19,0.54,1.67,0.59,0.16,0.08,0.36,0.55,0.35
Canon EOS R5,2.44,1.85,1.69,0.25,0.08,0.02,0.52,0.44,0.82
HP Spectre x360,4.31,1.39,1.24,0.18,0.05,0.02,0.59,1.26,1.03
Sony PlayStation 5,3.38,1.47,2.32,0.53,0.18,0.02,1.19,0.54,1.11
iPhone 11,2.65,0.45,2.93,0.85,0.16,0.03,1.35,1.48,1.36
Nikon D3500,0.17,1.79,2.01,0.94,0.05,0.07,0.87,1.16,0.6
OnePlus 9 Pro,3.88,1.4,1.22,0.99,0.12,0.1,0.18,1.18,0.49
Dell XPS 13,2.05,0.96,1.21,0.89,0.02,0.05,0.84,1.07,1.44
HP Spectre x360,4.41,0.73,2.03,0.61,0.04,0.03,1.55,1.06,0.4
Fitbit Charge,3.17,0.17,2.56,0.27,0.17,0.03,1.17,0.71,0.97
Microsoft Surface Pro,3.21,1.72,2.54,0.26,0.08,0.05,1.75,0.41,2.26
Lenovo ThinkPad X1,3.54,1.72,2.3,0.14,0.08,0.01,0.94,1.14,2.31
Sony PlayStation 5,1.59,1.86,0.63,0.73,0.12,0.02,1.49,0.74,1.87
Canon EOS R5,2.37,0.64,1.22,0.79,0.09,0.01,0.7,0.97,2.53
Raspberry Pi 4,1.33,0.57,2.03,0.1,0.12,0.08,1.64,0.62,1.74
Nikon D3500,0.76,0.97,2.24,0.53,0.15,0.04,0.17,0.69,0.59
iPad Pro,2.77,0.85,1.39,0.31,0.04,0.06,1.85,1.28,1.66
Raspberry Pi 4,4.45,1.92,1.28,0.88,0.05,0.09,1.52,1.09,1.18
Microsoft Surface Pro,1.35,2.0,2.84,0.45,0.18,0.09,1.95,1.04,1.31
HP Spectre x360,3.41,1.12,1.14,0.57,0.11,0.03,0.98,0.31,2.01
Lenovo ThinkPad X1,1.28,0.5,1.82,0.66,0.06,0.02,1.85,0.57,2.03
Raspberry Pi 4,4.83,0.37,0.38,0.27,0.04,0.06,0.85,0.41,1.92
Raspberry Pi 4,0.15,1.94,2.1,0.91,0.04,0.08,0.64,0.45,0.83
Dell XPS 13,0.67,1.14,2.31,0.99,0.16,0.06,0.1,0.19,1.97
Lenovo ThinkPad X1,1.52,0.94,1.31,0.52,0.16,0.05,0.91,0.33,0.37
Sony PlayStation 5,1.8,0.65,2.11,0.73,0.09,0.06,1.86,0.29,1.84
Google Pixel 6,2.71,1.35,0.63,0.87,0.02,0.05,1.86,0.17,0.93
Amazon Kindle,0.29,1.32,2.5,0.9,0.18,0.05,1.55,0.18,2.7
Nintendo Switch,1.69,0.3,0.88,0.53,0.03,0.06,0.72,1.23,2.31
iPad Pro,2.92,0.15,2.5,0.83,0.11,0.03,0.99,0.86,1.68
Nintendo Switch,0.85,1.52,1.61,0.32,0.19,0.03,1.82,1.02,2.35
HP Spectre x360,0.65,0.76,1.9,0.41,0.04,0.05,0.69,1.16,0.92
Nikon D3500,2.54,0.96,1.68,0.71,0.11,0.05,1.52,0.17,0.53
Nintendo Switch,4.88,0.64,2.09,0.67,0.1,0.09,1.96,1.27,2.92
Xbox Series X,3.76,0.84,2.65,0.84,0.06,0.09,0.39,1.33,1.65
OnePlus 9 Pro,4.9,0.85,1.0,0.95,0.18,0.02,0.34,1.11,2.64
Google Pixel 6,1.12,0.14,2.83,0.51,0.03,0.04,0.71,0.65,0.15
OnePlus 9 Pro,2.3,0.4,0.2,0.83,0.17,0.07,0.78,1.15,2.84
Xbox Series X,4.47,0.21,1.78,0.73,0.07,0.02,0.24,0.19,2.7
Microsoft Surface Pro,4.7,0.83,2.23,0.61,0.07,0.01,1.42,1.05,2.96
Dell XPS 13,1.99,0.44,0.43,0.8,0.08,0.02,1.75,1.14,2.5
Amazon Kindle,1.52,0.23,1.74,0.15,0.1,0.05,1.15,0.26,2.61
Xbox Series X,2.02,0.61,2.42,0.43,0.02,0.05,0.93,0.48,2.61
Sony PlayStation 5,2.82,0.94,2.77,0.33,0.14,0.09,0.37,0.82,1.89
Dell XPS 13,1.17,0.88,1.16,0.32,0.06,0.03,0.54,1.08,2.0
iPhone 11,3.71,1.81,0.72,0.96,0.07,0.09,0.75,0.85,2.33
Google Pixel 6,0.77,1.03,1.05,0.16,0.01,0.06,1.1,0.85,2.21
Lenovo ThinkPad X1,4.08,1.64,0.97,0.94,0.07,0.04,1.39,1.18,2.31
Google Pixel 6,4.06,1.6,1.83,0.77,0.15,0.05,1.27,0.22,0.92
Raspberry Pi 4,2.11,0.65,1.66,0.98,0.14,0.06,1.08,1.0,2.82
Samsung Galaxy S20,2.06,1.7,2.83,0.32,0.14,0.01,1.9,0.99,0.79
MacBook Pro,4.33,1.31,1.54,0.29,0.02,0.02,0.92,1.13,1.0
MacBook Pro,4.7,0.86,1.85,0.18,0.14,0.01,1.03,0.69,1.06
iPhone 11,2.99,0.62,2.19,0.37,0.04,0.09,0.4,0.67,2.91
MacBook Pro,1.24,0.73,0.75,0.86,0.04,0.07,0.43,0.89,0.34
Dell XPS 13,0.89,1.43,2.38,0.65,0.2,0.06,0.98,0.79,0.89
Canon EOS R5,2.24,1.69,1.62,0.74,0.13,0.03,0.89,0.86,2.85
Nintendo Switch,0.37,1.08,0.16,0.93,0.18,0.08,0.71,0.95,1.27
iPad Pro,4.29,0.73,1.08,0.45,0.04,0.08,0.33,0.61,0.85
Xbox Series X,1.27,0.96,2.86,0.84,0.06,0.01,1.86,1.43,1.85
OnePlus 9 Pro,1.65,0.77,2.06,0.19,0.03,0.07,1.05,0.22,1.68
Fitbit Charge,4.25,0.84,0.42,0.5,0.14,0.07,0.95,1.05,0.67
Fitbit Charge,3.37,0.46,1.92,0.74,0.09,0.08,1.53,0.36,0.51
Google Pixel 6,1.54,0.28,1.43,0.5,0.07,0.07,1.57,0.86,1.2
iPhone 11,1.04,0.89,1.43,0.96,0.18,0.04,0.73,0.66,2.6
Raspberry Pi 4,4.7,1.85,2.79,0.42,0.07,0.06,1.38,0.41,2.33
Nikon D3500,2.45,0.74,0.82,0.79,0.04,0.06,0.29,1.42,1.1
Apple Watch,2.37,2.0,1.38,0.87,0.06,0.07,1.83,0.57,1.85
Canon EOS R5,4.85,1.96,0.29,0.46,0.14,0.07,0.78,1.33,1.24
Samsung Galaxy S20,3.61,0.54,1.95,0.99,0.07,0.09,1.36,1.26,1.3
Google Pixel 6,3.69,1.51,3.0,0.15,0.16,0.08,1.73,1.2,2.67
Lenovo ThinkPad X1,2.17,1.69,2.64,0.94,0.18,0.05,1.32,0.44,1.19
Xbox Series X,4.1,0.76,1.22,0.51,0.05,0.01,1.56,1.3,2.43
Samsung Galaxy S20,2.28,1.13,2.23,0.43,0.15,0.07,0.54,0.15,2.77
iPhone 11,1.53,1.47,2.47,0.51,0.11,0.03,1.38,1.42,2.87
Dell XPS 13,3.45,0.26,1.49,0.91,0.03,0.09,1.43,0.51,2.22
Amazon Kindle,1.28,1.45,1.06,0.66,0.01,0.04,0.28,0.4,2.18
OnePlus 9 Pro,1.39,0.65,2.91,0.85,0.01,0.08,0.52,0.87,1.9
MacBook Pro,2.78,1.13,2.63,0.22,0.1,0.03,0.66,1.39,2.85
iPad Pro,1.62,0.53,2.56,0.66,0.13,0.02,1.19,0.3,2.36
Lenovo ThinkPad X1,4.82,0.32,2.24,0.18,0.01,0.04,0.23,1.39,1.9
Sony PlayStation 5,4.7,0.71,1.31,0.86,0.05,0.03,1.0,1.0,1.5
Microsoft Surface Pro,2.77,1.84,1.09,0.32,0.12,0.04,0.28,1.41,1.32
OnePlus 9 Pro,1.56,1.92,0.71,0.84,0.07,0.09,1.65,0.61,0.3
Apple Watch,2.17,1.92,2.79,0.94,0.04,0.06,1.9,0.79,0.77
Sony PlayStation 5,1.95,1.1,0.37,0.97,0.17,0.1,0.42,1.17,2.32
Nikon D3500,3.81,0.69,2.28,0.68,0.14,0.03,0.99,0.86,1.86
Amazon Kindle,2.9,0.72,2.91,0.96,0.03,0.06,0.88,1.4,0.58
MacBook Pro,0.4,0.22,0.65,0.92,0.09,0.08,0.29,0.42,0.5
Dell XPS 13,3.2,1.52,2.09,0.66,0.04,0.07,1.22,0.43,2.36
Raspberry Pi 4,0.59,0.38,0.73,0.97,0.11,0.03,1.4,0.23,0.68
HP Spectre x360,2.32,0.87,1.92,0.89,0.18,0.01,1.06,0.35,1.85
iPhone 11,3.17,1.66,1.41,0.21,0.17,0.07,0.38,0.53,1.17
Google Pixel 6,3.59,1.88,0.75,0.71,0.05,0.04,0.6,0.44,2.81
Lenovo ThinkPad X1,0.85,1.27,2.1,0.32,0.05,0.01,0.32,1.14,1.89
Google Pixel 6,0.63,1.16,2.08,0.33,0.08,0.02,1.17,0.54,1.41
Nintendo Switch,2.93,1.89,0.74,0.9,0.02,0.04,0.65,1.34,0.99
Sony PlayStation 5,4.22,1.52,0.78,0.99,0.16,0.06,0.31,1.47,2.87
LG OLED TV,3.55,0.43,1.92,0.66,0.2,0.04,1.53,1.05,0.99
Apple Watch,2.01,0.12,2.12,0.88,0.02,0.07,1.99,0.25,1.31
MacBook Pro,0.42,0.73,2.46,0.46,0.12,0.1,1.34,0.15,1.64
LG OLED TV,3.55,0.8,1.69,0.92,0.13,0.08,0.18,0.39,1.1
HP Spectre x360,2.9,2.0,2.31,0.52,0.16,0.05,1.68,0.18,1.57
iPad Pro,0.29,0.15,1.47,0.15,0.18,0.04,0.45,0.83,1.0
Nintendo Switch,3.08,0.25,2.39,0.85,0.09,0.04,1.18,1.37,0.12
Amazon Kindle,2.23,1.43,0.25,0.34,0.02,0.01,0.59,1.02,0.12
Microsoft Surface Pro,1.8,1.8,1.87,0.74,0.19,0.02,1.51,1.15,2.85
Amazon Kindle,4.59,1.85,2.77,0.55,0.02,0.04,1.94,0.96,1.38
iPad Pro,1.2,1.19,2.78,0.38,0.09,0.05,1.14,0.43,2.81
Dell XPS 13,0.5,0.53,1.16,0.44,0.19,0.05,0.32,1.32,0.89
Fitbit Charge,3.91,1.67,1.73,0.69,0.02,0.02,1.48,0.89,1.6
Dell XPS 13,4.51,1.58,1.58,0.81,0.16,0.06,1.06,0.83,0.97
LG OLED TV,4.34,0.56,1.16,0.16,0.11,0.1,1.0,1.27,2.72
OnePlus 9 Pro,3.71,1.1,0.8,0.2,0.11,0.02,1.37,1.42,2.34
OnePlus 9 Pro,4.79,0.2,1.7,0.46,0.15,0.05,0.15,0.33,0.9
Lenovo ThinkPad X1,1.81,0.44,0.92,0.44,0.04,0.07,1.84,0.37,2.04
Raspberry Pi 4,1.2,1.73,1.7,0.35,0.19,0.02,0.48,1.23,1.4
LG OLED TV,0.28,0.77,2.99,0.79,0.09,0.1,1.31,0.75,1.02
Raspberry Pi 4,2.54,1.09,2.59,0.81,0.03,0.06,0.87,1.38,2.15
Google Pixel 6,3.07,1.3,2.3,0.15,0.19,0.07,0.28,0.51,2.86
Xbox Series X,4.7,0.94,1.82,0.23,0.1,0.07,0.23,0.37,1.76
iPad Pro,2.95,1.52,1.93,0.11,0.14,0.08,0.99,0.14,2.85
Nikon D3500,2.68,1.05,2.54,0.9,0.02,0.02,0.59,0.49,1.66
Amazon Kindle,1.01,0.41,1.38,0.94,0.13,0.01,1.94,0.38,2.43
Amazon Kindle,4.91,0.7,1.11,0.51,0.15,0.02,0.99,0.4,2.48
Apple Watch,3.46,0.21,2.84,0.75,0.08,0.04,0.94,0.54,0.28
MacBook Pro,4.58,0.82,1.32,0.54,0.03,0.04,0.9,0.25,1.37
Microsoft Surface Pro,2.38,1.41,1.85,0.59,0.16,0.09,0.67,0.53,2.26
MacBook Pro,4.62,0.17,1.18,0.47,0.17,0.08,0.77,0.86,0.9
iPad Pro,4.76,0.59,2.96,0.36,0.05,0.03,1.16,0.64,1.29
iPhone 11,2.33,1.79,0.45,0.69,0.19,0.09,0.37,0.28,2.88
Google Pixel 6,1.65,0.49,0.51,0.22,0.06,0.02,1.68,0.66,1.26
Fitbit Charge,1.39,0.48,0.37,0.29,0.15,0.01,1.49,0.35,0.98
OnePlus 9 Pro,2.28,1.93,1.01,0.71,0.14,0.06,0.33,1.0,2.62
Samsung Galaxy S20,3.33,0.74,0.1,0.38,0.1,0.02,1.69,0.59,1.88
Google Pixel 6,0.2,1.13,2.49,0.55,0.05,0.01,1.78,0.79,2.65
iPhone 11,1.01,0.77,1.07,0.18,0.2,0.07,0.24,0.84,2.07
HP Spectre x360,4.26,0.46,1.32,0.55,0.02,0.04,1.31,0.2,2.84
Nikon D3500,2.57,0.15,0.17,0.47,0.08,0.03,1.76,0.98,2.7
MacBook Pro,3.66,0.11,1.0,0.66,0.18,0.07,1.59,0.51,0.85
Lenovo ThinkPad X1,1.92,1.81,2.08,0.14,0.11,0.01,1.11,1.1,2.77
iPad Pro,0.98,0.87,0.5,0.25,0.03,0.06,0.64,0.22,0.98
Samsung Galaxy S20,2.06,1.52,0.24,0.84,0.13,0.01,1.96,0.48,0.51
MacBook Pro,1.43,0.44,2.36,0.2,0.05,0.09,0.46,1.43,2.2
Nintendo Switch,0.48,1.49,1.19,0.81,0.09,0.03,0.12,1.03,1.6
LG OLED TV,1.9,0.81,0.41,0.54,0.2,0.02,1.54,1.11,1.36
LG OLED TV,5.0,0.39,0.31,0.2,0.12,0.09,0.38,1.09,2.47
Microsoft Surface Pro,3.97,1.01,0.86,0.13,0.05,0.04,1.98,1.49,0.99
Fitbit Charge,0.32,0.45,0.33,0.74,0.2,0.08,0.39,0.15,2.48
Google Pixel 6,0.22,1.93,1.13,0.79,0.04,0.1,1.1,0.79,1.06
Samsung Galaxy S20,1.08,1.23,0.43,0.14,0.12,0.09,1.45,1.03,1.91
iPad Pro,3.19,1.9,1.65,0.24,0.02,0.02,1.82,0.44,1.27
Nikon D3500,3.87,0.1,2.76,0.33,0.07,0.08,2.0,0.42,0.51
Apple Watch,0.23,0.65,2.7,0.92,0.08,0.04,1.98,0.34,0.96
Apple Watch,3.21,0.83,0.75,0.57,0.06,0.03,1.97,0.23,0.58
iPad Pro,0.34,1.05,1.44,0.41,0.13,0.09,1.94,0.16,2.55
Nikon D3500,2.51,0.63,0.9,0.52,0.17,0.09,1.09,0.64,1.0
Lenovo ThinkPad X1,2.3,0.25,0.28,0.36,0.17,0.04,0.9,0.48,2.38
Microsoft Surface Pro,0.42,0.99,2.71,0.18,0.02,0.03,1.76,0.64,2.21
Nikon D3500,2.88,0.95,0.51,0.62,0.06,0.08,1.69,1.14,1.32
Amazon Kindle,4.76,0.99,1.07,0.98,0.07,0.03,0.53,1.32,0.72
Amazon Kindle,4.38,1.07,1.13,0.29,0.06,0.09,1.57,1.25,1.38
iPhone 11,2.28,0.27,2.83,0.9,0.16,0.09,0.15,0.14,2.08
iPad Pro,4.04,1.59,0.4,0.27,0.14,0.07,0.34,0.17,2.54
LG OLED TV,3.32,1.4,1.77,0.77,0.08,0.1,0.59,0.37,2.94
OnePlus 9 Pro,2.66,0.21,1.06,0.24,0.04,0.04,1.39,0.66,2.77
Microsoft Surface Pro,2.04,1.32,0.91,0.73,0.08,0.04,0.51,1.45,2.0
Dell XPS 13,1.31,1.77,1.91,0.47,0.17,0.08,1.33,1.25,0.22
Dell XPS 13,4.33,1.1,1.03,0.26,0.11,0.02,0.15,0.92,2.2
Sony PlayStation 5,4.54,0.27,2.12,0.29,0.18,0.1,1.26,0.99,2.02
Xbox Series X,3.42,1.57,2.04,0.49,0.03,0.07,0.59,1.26,1.83
Microsoft Surface Pro,4.47,1.03,2.35,0.67,0.05,0.06,1.17,0.53,1.67
Xbox Series X,2.21,1.12,2.69,0.64,0.08,0.07,0.41,0.86,1.02
iPad Pro,1.91,0.69,0.25,0.64,0.2,0.07,0.26,0.78,0.89
Canon EOS R5,0.84,0.87,1.23,0.78,0.05,0.04,0.41,1.46,1.59
Sony PlayStation 5,0.95,1.6,2.08,0.47,0.16,0.09,0.81,1.34,1.47
iPhone 11,1.79,1.28,1.98,0.69,0.01,0.04,0.55,1.01,2.44
MacBook Pro,3.31,0.56,0.93,0.44,0.16,0.08,1.87,1.11,1.92
Sony PlayStation 5,4.68,0.36,1.78,0.54,0.04,0.07,2.0,1.17,2.31
iPad Pro,3.44,0.65,1.2,0.62,0.16,0.08,1.28,0.41,0.4
MacBook Pro,1.36,0.89,1.69,0.68,0.01,0.03,1.82,0.16,1.34
iPad Pro,4.61,0.94,0.74,0.39,0.14,0.07,0.81,0.89,1.86
Raspberry Pi 4,2.06,0.72,2.58,0.96,0.01,0.09,1.38,1.0,1.69
iPad Pro,0.48,0.5,1.81,0.42,0.13,0.07,1.63,0.29,2.35
Lenovo ThinkPad X1,0.37,0.43,2.02,0.98,0.19,0.03,0.53,0.36,0.71
OnePlus 9 Pro,3.34,0.43,2.41,0.64,0.07,0.05,0.31,1.27,2.88
Raspberry Pi 4,2.77,1.72,1.27,0.29,0.11,0.01,0.14,0.31,0.61
Apple Watch,1.38,1.23,2.37,0.27,0.12,0.07,1.35,0.67,2.43
Lenovo ThinkPad X1,0.88,1.12,1.62,0.84,0.02,0.09,0.4,1.12,1.25
Google Pixel 6,4.22,1.54,2.66,0.96,0.13,0.04,1.83,0.27,0.93
Samsung Galaxy S20,4.6,1.67,0.25,0.35,0.05,0.07,1.35,1.26,1.5
Amazon Kindle,1.41,1.11,2.84,0.35,0.17,0.07,1.33,1.39,2.19
Sony PlayStation 5,1.79,0.15,2.24,0.46,0.09,0.09,1.12,1.08,1.84
Amazon Kindle,4.86,0.91,2.89,0.27,0.03,0.07,1.48,1.36,2.78
MacBook Pro,3.33,1.8,0.42,0.86,0.17,0.05,0.88,0.66,1.19
Dell XPS 13,3.96,1.4,1.8,0.73,0.12,0.08,0.13,1.42,1.66
iPhone 11,1.96,1.19,1.42,0.28,0.16,0.06,1.17,0.95,2.63
Fitbit Charge,3.2,0.36,0.52,0.8,0.11,0.05,1.01,0.8,1.44
Dell XPS 13,4.39,1.6,2.48,0.18,0.02,0.03,1.58,0.29,1.05
iPhone 11,0.83,1.26,0.98,0.16,0.04,0.1,1.6,1.11,0.98
Nintendo Switch,0.55,0.84,2.76,0.99,0.02,0.08,0.33,0.68,2.28
Amazon Kindle,0.99,1.94,1.79,0.75,0.1,0.04,0.57,0.64,1.59
Sony PlayStation 5,1.76,1.86,0.64,0.52,0.13,0.08,0.92,0.37,2.1
Dell XPS 13,2.59,0.28,0.14,0.9,0.04,0.07,0.26,1.21,2.59
Apple Watch,3.14,1.83,2.49,0.63,0.18,0.03,1.76,0.51,2.83
Raspberry Pi 4,3.87,0.58,1.84,0.47,0.15,0.02,0.37,1.41,0.97
Dell XPS 13,2.28,0.94,1.7,0.73,0.02,0.07,0.59,1.44,2.5
OnePlus 9 Pro,3.66,0.59,0.15,0.61,0.11,0.06,1.11,1.08,0.56
Sony PlayStation 5,2.32,1.51,1.24,0.21,0.14,0.1,1.26,1.09,2.49
iPhone 11,1.41,0.55,1.57,0.64,0.11,0.05,0.39,1.22,0.37
Raspberry Pi 4,2.2,0.62,2.25,0.74,0.17,0.05,1.26,0.56,0.47
LG OLED TV,4.83,0.35,0.4,0.36,0.01,0.03,1.43,1.48,0.85
Lenovo ThinkPad X1,2.6,0.99,2.14,0.57,0.18,0.02,0.29,0.36,2.57
Nintendo Switch,0.46,1.46,0.59,0.4,0.09,0.07,0.12,1.0,2.8
Canon EOS R5,4.12,0.94,1.23,0.68,0.14,0.02,0.22,0.73,0.2
Google Pixel 6,3.98,0.79,1.31,0.93,0.2,0.08,1.73,1.43,2.06
MacBook Pro,0.74,1.64,0.39,0.39,0.09,0.08,0.81,0.57,0.18
Apple Watch,1.65,1.18,1.6,0.59,0.11,0.09,1.8,1.29,2.28
LG OLED TV,1.17,0.84,2.7,0.74,0.03,0.04,1.69,0.21,2.23
Apple Watch,4.47,0.75,1.9,0.4,0.09,0.02,1.44,0.17,0.12
Sony PlayStation 5,2.75,1.08,1.52,0.51,0.13,0.02,0.8,0.4,0.87
Dell XPS 13,1.79,1.14,1.12,0.52,0.18,0.01,0.31,1.39,0.91
Raspberry Pi 4,2.69,0.28,2.69,0.84,0.11,0.09,1.38,0.67,0.26
HP Spectre x360,0.6,0.29,0.56,0.59,0.03,0.05,0.37,0.34,0.77
Microsoft Surface Pro,2.16,1.98,2.55,0.56,0.12,0.02,1.73,1.39,0.61
Google Pixel 6,1.93,1.76,1.92,0.19,0.08,0.06,1.01,1.44,1.12
iPad Pro,4.17,1.49,0.23,0.36,0.06,0.05,0.15,0.4,2.87
Nikon D3500,3.58,0.19,0.43,0.32,0.07,0.1,0.46,0.47,2.36
HP Spectre x360,0.65,1.95,0.88,0.61,0.09,0.02,1.41,0.86,0.57
iPad Pro,2.3,1.69,1.69,0.18,0.05,0.06,1.92,0.58,1.67
Dell XPS 13,0.85,0.8,0.77,0.47,0.07,0.06,1.61,1.34,2.92
Samsung Galaxy S20,1.99,0.33,0.79,0.37,0.18,0.08,1.46,0.74,2.5
Raspberry Pi 4,3.88,0.95,1.92,0.87,0.17,0.02,1.7,0.91,2.44
Nintendo Switch,3.16,0.76,1.08,0.67,0.1,0.04,1.09,1.25,0.51
Microsoft Surface Pro,3.67,1.59,0.8,0.12,0.08,0.04,0.94,0.36,2.95
Amazon Kindle,2.48,1.13,0.85,0.28,0.18,0.06,0.54,1.35,1.31
Nikon D3500,2.72,0.2,0.87,0.35,0.17,0.04,1.12,0.35,0.37
Nikon D3500,0.53,0.43,0.42,0.9,0.14,0.07,1.91,0.28,0.27
MacBook Pro,2.66,1.63,0.95,0.72,0.06,0.1,1.28,0.5,1.2
MacBook Pro,0.26,1.74,1.93,0.37,0.17,0.1,1.32,0.71,0.87
Canon EOS R5,0.81,1.53,0.28,0.77,0.09,0.1,0.78,1.2,2.36
iPad Pro,3.53,1.27,2.39,0.95,0.03,0.09,2.0,1.46,0.6
Sony PlayStation 5,3.89,0.7,2.82,0.46,0.05,0.03,1.49,0.69,1.67
Amazon Kindle,2.74,0.97,1.66,0.67,0.19,0.07,1.47,0.39,2.09
Dell XPS 13,2.54,1.46,2.86,0.47,0.1,0.02,0.43,0.68,1.4
iPhone 11,1.66,1.79,0.6,0.11,0.16,0.08,0.68,0.31,1.34
Raspberry Pi 4,2.4,1.85,1.21,0.42,0.16,0.04,1.65,1.06,0.95
Google Pixel 6,3.89,1.25,1.9,0.59,0.11,0.05,0.49,1.48,1.55
LG OLED TV,3.11,0.73,0.44,0.79,0.07,0.02,0.45,1.1,0.97
